22:19:49 | INFO     | OrderManager    | Order #12: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #13: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #14: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #15: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #16: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #17: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #18: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #19: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #20: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #21: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #22: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #23: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #24: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #25: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #26: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #27: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #28: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #29: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #30: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #31: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #32: BUY 10 AAPL @ 100
22:19:49 | INFO     | OrderManager    | Order #33: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #34: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #35: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #36: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #37: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #38: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #39: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #40: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #41: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #42: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #43: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #44: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #45: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #46: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #47: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #48: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #49: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #50: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #51: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #52: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #53: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #54: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #55: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #56: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #57: BUY 10 AAPL @ 100
22:19:50 | INFO     | OrderManager    | Order #58: BUY 10 AAPL @ 100
